dataset,epochs,seed,method,dr_acc,yu_acc,lpr_acc,separability
CIFAR10,0,42,Retrain,89.85555555555555,0.0,82.94444444444444,0.0963584657479064
CIFAR10,1,42,BU,80.37777777777778,0.0,87.27777777777777,0.1260617022163772
CIFAR10,3,42,BU,57.67777777777778,0.0,87.90740740740742,0.1199323492894922
CIFAR10,5,42,BU,41.87777777777778,0.0,86.22222222222223,0.1178105229079422
CIFAR10,10,42,BU,33.477777777777774,0.0,85.85185185185185,0.1968040329882321
CIFAR10,20,42,BU,21.288888888888888,0.0,84.27777777777779,0.1307955792621844
CIFAR10,0,123,Retrain,89.91111111111111,0.0,83.35185185185185,0.0958507983335415
CIFAR10,1,123,BU,81.61111111111111,0.0,88.72222222222221,0.1010001469820958
CIFAR10,3,123,BU,56.36666666666667,0.0,85.75925925925925,0.1279778970135064
CIFAR10,5,123,BU,45.7,0.0,85.14814814814815,0.104544858879177
CIFAR10,10,123,BU,31.91111111111111,0.0,85.53703703703704,0.2097591205388417
CIFAR10,20,123,BU,27.444444444444443,0.0,81.87037037037037,0.1312402275529139
CIFAR10,0,456,Retrain,89.41111111111111,0.0,83.51851851851852,0.0869845225044909
CIFAR10,1,456,BU,75.66666666666667,0.0,86.96296296296296,0.1227099577946175
CIFAR10,3,456,BU,62.55555555555556,0.0,89.66666666666667,0.1269050483701502
CIFAR10,5,456,BU,42.41111111111111,0.0,87.09259259259258,0.1579618231031565
CIFAR10,10,456,BU,32.666666666666664,0.0,84.44444444444444,0.1040559241498024
CIFAR10,20,456,BU,16.644444444444446,0.0,85.51851851851853,0.1247263926683686
CIFAR100,0,42,Retrain,62.57575757575758,0.0,73.26599326599327,0.4682748815996624
CIFAR100,1,42,BU,57.96969696969697,50.0,76.63299663299664,0.4777751132631375
CIFAR100,3,42,BU,42.14141414141414,4.0,76.61616161616162,0.3780273478093416
CIFAR100,5,42,BU,34.96969696969697,1.0,74.8989898989899,0.3715051725102039
CIFAR100,10,42,BU,26.656565656565657,0.0,73.26599326599327,0.4075497599641405
CIFAR100,20,42,BU,22.484848484848484,0.0,66.58249158249157,0.5065640363425524
CIFAR100,0,123,Retrain,61.83838383838384,0.0,76.48148148148148,0.4680992024689049
CIFAR100,1,123,BU,57.61616161616162,49.0,83.26599326599326,0.485503793287396
CIFAR100,3,123,BU,42.28282828282829,4.0,86.58249158249158,0.3718215449921556
CIFAR100,5,123,BU,31.595959595959595,0.0,79.91582491582491,0.3556908766329005
CIFAR100,10,123,BU,26.13131313131313,0.0,79.8821548821549,0.3993715681093344
CIFAR100,20,123,BU,20.252525252525253,0.0,79.86531986531986,0.4980142540651359
CIFAR100,0,456,Retrain,62.31313131313132,0.0,73.19865319865319,0.4549618676793626
CIFAR100,1,456,BU,56.64646464646464,45.0,81.58249158249158,0.4601088833990397
CIFAR100,3,456,BU,42.56565656565657,5.0,81.5993265993266,0.3561173970682258
CIFAR100,5,456,BU,32.18181818181818,0.0,78.23232323232322,0.384769455602671
CIFAR100,10,456,BU,23.71717171717172,0.0,79.8821548821549,0.5218907509411429
CIFAR100,20,456,BU,23.383838383838384,0.0,79.83164983164983,0.3978166592325194
COVID19,0,42,Retrain,92.90800341782968,0.0,80.8959067497967,0.0342738742046702
COVID19,1,42,BU,90.08829393335232,5.939226519337017,95.00542152344808,0.1307011670133685
COVID19,3,42,BU,88.12304186841355,0.0,93.84657088641907,0.1156310334223057
COVID19,5,42,BU,78.92338365138137,0.0,92.96557332610465,0.1313549580210774
COVID19,10,42,BU,76.58786670464255,0.0,93.19598807264842,0.1532755389866971
COVID19,20,42,BU,67.70150954144118,0.0,94.30740037950665,0.1781129666122153
COVID19,0,123,Retrain,92.509256622045,0.0,79.17457305502846,0.0306667588933717
COVID19,1,123,BU,86.92680148105953,8.977900552486188,96.1100569259962,0.15966408408654
COVID19,3,123,BU,82.39817715750499,0.0,95.96774193548389,0.1090705564019084
COVID19,5,123,BU,76.90116775847336,0.0,96.24559501219842,0.1314370163383459
COVID19,10,123,BU,80.77470806038166,0.0,95.64922743290865,0.1001916432248415
COVID19,20,123,BU,69.98006266021076,0.0,96.51667118460288,0.1417990452541768
COVID19,0,456,Retrain,92.70863001993736,0.0,78.43589048522634,0.0319499326798068
COVID19,1,456,BU,90.85730561093706,8.287292817679559,95.14095960965032,0.127307921071419
COVID19,3,456,BU,86.24323554542865,0.2762430939226519,93.94144754676064,0.1325761928101388
COVID19,5,456,BU,89.31928225576759,0.0,94.44971537001898,0.101083417622097
COVID19,10,456,BU,79.15123896325834,0.0,94.2193006234752,0.0880223834562667
COVID19,20,456,BU,66.81857020791797,0.0,95.22905936568176,0.0686646336984316
