dataset,seed,method,lpr_linear,auroc_linear,lpr_mlp,auroc_mlp
MNIST,42,Retrain,99.05727257643632,0.9998353369433508,99.05727257643632,0.9997888290571216
MNIST,42,FT,99.58595411557084,0.9999472072642804,99.62290903057452,0.9999836593913248
MNIST,42,BU,99.20886314614538,0.9996505623683324,99.22734060364722,0.99982276724437
MNIST,42,Target,97.43427304402914,0.9964591157970948,97.91129312035235,0.9981283718217516
MNIST,123,Retrain,99.71906722777804,0.99982276724437,98.1699775253782,0.999660618127517
MNIST,123,FT,99.4343635458618,0.9999057272576436,99.62290903057452,0.9999610339331594
MNIST,123,BU,99.24581806114908,0.999689528435173,99.24581806114908,0.999909498167338
MNIST,123,Target,98.28461318008355,0.9988951234595834,97.92599966815996,0.9992332483621684
MNIST,456,Retrain,99.36045371585442,0.9998416217928412,98.9056820067273,0.9997561478397716
MNIST,456,FT,99.45284100336364,0.9998868727091724,99.62290903057452,0.9999886872709172
MNIST,456,BU,99.02031766143264,0.999793856936714,98.01838695566916,0.999715924803033
MNIST,456,Target,97.82984147095644,0.9983508554937128,97.08320135149404,0.996092080586854
CIFAR10,42,Retrain,82.94444444444444,0.9665901234567902,85.37037037037037,0.9836827160493828
CIFAR10,42,FT,89.94444444444444,0.9803308641975308,93.55555555555556,0.9933851851851851
CIFAR10,42,BU,88.68518518518519,0.976967901234568,89.48148148148148,0.9794185185185184
CIFAR10,42,Target,77.37037037037037,0.9404592592592592,70.74074074074073,0.9282012345679012
CIFAR10,123,Retrain,83.35185185185185,0.9623086419753086,87.68518518518519,0.9820222222222222
CIFAR10,123,FT,90.0925925925926,0.9814962962962962,92.7777777777778,0.993341975308642
CIFAR10,123,BU,87.83333333333333,0.9721481481481482,83.35185185185185,0.9624185185185186
CIFAR10,123,Target,79.07407407407408,0.9497716049382716,73.75925925925925,0.9361123456790124
CIFAR10,456,Retrain,83.51851851851852,0.9601024691358024,87.11111111111111,0.9833987654320988
CIFAR10,456,FT,90.5,0.983732098765432,94.25925925925924,0.993225925925926
CIFAR10,456,BU,87.85185185185185,0.9756925925925928,88.33333333333333,0.9791308641975308
CIFAR10,456,Target,81.62962962962963,0.9561222222222224,78.38888888888889,0.9514283950617284
CIFAR100,42,Retrain,73.26599326599327,0.9777216610549944,66.61616161616162,0.991111111111111
CIFAR100,42,FT,71.64983164983165,0.9894612794612794,79.98316498316498,0.9917283950617284
CIFAR100,42,BU,76.61616161616162,0.97317620650954,86.5993265993266,0.9738159371492704
CIFAR100,42,Target,56.498316498316505,0.7896184062850728,56.54882154882155,0.7454882154882155
CIFAR100,123,Retrain,76.48148148148148,0.9730415263748596,78.24915824915824,0.9939169472502806
CIFAR100,123,FT,86.54882154882155,0.9804264870931538,81.63299663299664,0.9935465768799102
CIFAR100,123,BU,79.8989898989899,0.9837373737373738,78.26599326599326,0.9915937149270484
CIFAR100,123,Target,53.26599326599328,0.8059820426487093,49.98316498316498,0.6432659932659933
CIFAR100,456,Retrain,73.19865319865319,0.9678563411896746,70.0,0.9905387205387204
CIFAR100,456,FT,74.94949494949495,0.9608978675645344,81.58249158249158,0.99
CIFAR100,456,BU,81.56565656565657,0.984769921436588,71.58249158249158,0.9800561167227834
CIFAR100,456,Target,51.64983164983165,0.8298428731762065,51.61616161616161,0.73331088664422
ModelNet10,42,Retrain,72.36434108527132,0.909560723514212,62.945736434108525,0.9103359173126616
ModelNet10,42,FT,82.55813953488371,0.9131782945736436,79.2248062015504,0.9444444444444444
ModelNet10,42,BU,85.69767441860465,0.9012919896640827,82.1705426356589,0.9416020671834626
ModelNet10,42,Target,49.8062015503876,0.7149870801033591,50.0,0.5658914728682171
ModelNet10,123,Retrain,66.27906976744185,0.8798449612403101,66.08527131782945,0.925064599483204
ModelNet10,123,FT,75.69767441860465,0.918346253229974,82.55813953488371,0.9372093023255814
ModelNet10,123,BU,79.2248062015504,0.9183462532299742,79.2248062015504,0.9302325581395348
ModelNet10,123,Target,49.8062015503876,0.7744186046511627,49.8062015503876,0.5010335917312662
ModelNet10,456,Retrain,76.08527131782945,0.9397932816537468,66.27906976744185,0.8974160206718347
ModelNet10,456,FT,73.13953488372094,0.931782945736434,69.61240310077518,0.9540051679586564
ModelNet10,456,BU,72.75193798449612,0.917312661498708,66.47286821705426,0.9224806201550388
ModelNet10,456,Target,53.13953488372093,0.7237726098191214,50.0,0.4656330749354005
BrainTumor,42,Retrain,78.05555555555556,0.8950925925925927,80.41666666666667,0.9138425925925924
BrainTumor,42,FT,90.83333333333331,0.9716666666666668,89.44444444444444,0.9700231481481482
BrainTumor,42,BU,89.8611111111111,0.9721296296296296,88.33333333333333,0.9733333333333334
BrainTumor,42,Target,78.88888888888889,0.9048842592592592,77.5,0.8623148148148149
BrainTumor,123,Retrain,80.41666666666667,0.9064583333333334,83.33333333333333,0.9320138888888888
BrainTumor,123,FT,90.9722222222222,0.9734722222222224,87.36111111111111,0.9802777777777778
BrainTumor,123,BU,87.08333333333333,0.9488657407407408,85.69444444444446,0.9292824074074074
BrainTumor,123,Target,76.52777777777777,0.8916898148148148,75.27777777777777,0.8882870370370372
BrainTumor,456,Retrain,80.27777777777779,0.90125,77.3611111111111,0.9056712962962964
BrainTumor,456,FT,91.38888888888889,0.9710185185185184,89.58333333333333,0.9821296296296296
BrainTumor,456,BU,89.86111111111111,0.9559259259259256,86.66666666666667,0.9388888888888888
BrainTumor,456,Target,82.63888888888889,0.9128935185185186,75.13888888888889,0.8593055555555555
COVID19,42,Retrain,78.19192193006235,0.8925576474085992,82.43426402819192,0.9487228814522688
COVID19,42,FT,97.4451070750881,0.9930525800330536,96.48278666305232,0.9962705165312744
COVID19,42,BU,96.19815668202764,0.9907702935492616,92.97235023041476,0.9867697339081314
COVID19,42,Target,71.7741935483871,0.8820600040224207,70.75088099756032,0.8781447022097081
COVID19,123,Retrain,77.29059365681756,0.8852079853793755,76.1656275413391,0.8980403816052956
COVID19,123,FT,96.15749525616698,0.9969132293916524,96.42857142857144,0.9955447319406432
COVID19,123,BU,93.71103280021688,0.9914523561766018,90.9257251287612,0.9818947350011804
COVID19,123,Target,65.52588777446462,0.857134112750199,64.73298997018162,0.8443979048435191
COVID19,456,Retrain,78.56465166711845,0.9062688550966692,83.91162916779615,0.9486310653293576
COVID19,456,FT,95.04608294930875,0.992558521847865,95.55435077256708,0.9941806066859626
COVID19,456,BU,93.7923556519382,0.9891919306744552,93.7991325562483,0.9918939480058412
COVID19,456,Target,64.86852805638385,0.817395220314973,64.54323664949851,0.8505495850785684
YahooAnswers,42,Retrain,53.71296296296296,0.7377075617283951,52.99074074074074,0.7465674382716049
YahooAnswers,42,FT,60.32407407407408,0.7790470679012346,59.157407407407405,0.7911300925925926
YahooAnswers,42,BU,60.1388888888889,0.7669171296296297,59.86111111111111,0.7880095679012347
YahooAnswers,42,Target,60.66666666666667,0.7715140432098766,60.5462962962963,0.7828933641975308
YahooAnswers,123,Retrain,53.37962962962963,0.7244013888888889,56.04629629629629,0.751109413580247
YahooAnswers,123,FT,61.18518518518519,0.7716581790123458,61.36111111111112,0.7816404320987655
YahooAnswers,123,BU,61.23148148148149,0.7724794753086419,61.93518518518519,0.7859827160493827
YahooAnswers,123,Target,61.69444444444445,0.767661574074074,59.80555555555556,0.7781893518518518
YahooAnswers,456,Retrain,53.76851851851852,0.7195856481481482,55.37962962962963,0.7377401234567901
YahooAnswers,456,FT,60.22222222222222,0.7730436728395061,59.12962962962963,0.7820885802469136
YahooAnswers,456,BU,60.76851851851852,0.7570415123456791,61.33333333333333,0.7773708333333333
YahooAnswers,456,Target,61.0462962962963,0.7738421296296296,60.583333333333336,0.7916839506172839
